Полное имя,Работа,Емайл
Paul Kovalchuk,TechLead,olqhtbrcaxgzjwsyimnkpvdufe@gmail.com
Kate Kovalchuk,Developer,wftecbkuxhrsoaqvymgdznlpij@ukr.net
Paul Bondar,TeamLead,nfdegytmxjczaqhsowbrulvpki@ukr.net
Kate Kovalchuk,TechLead,vslndjeobgaumkrftizhcxywqp@ukr.net
Olha Bondar,TechLead,qglmyxpewczbiohdnjrfvktsau@i.ua
Olha Kovalchuk,TeamLead,tpwvqcioujhskngedyzfbaxlrm@i.ua
Paul Kovalchuk,TechLead,nhorewyqjsmbpadtcuvkfxgizl@i.ua
Kate Mahno,TechLead,qaypzxjkmuidrbovnwceglfsth@gmail.com
Paul Shevchenko,TeamLead,ckxtmzlrjbsgwoeuqdyhinvpaf@ukr.net
Olha Shevchenko,Developer,axzteqcnmpwhryjgbfvkuiolsd@ukr.net
Denis Kovalchuk,TeamLead,gfxiqrlhdjmwabsznoykvteupc@i.ua
Denis Mahno,PM,agzyromxnucvkdiswthjqlfbep@gmail.com
Olha Kovalchuk,TechLead,wnqupxgkveytzbhcjolsmaidrf@i.ua
Denis Bondar,TechLead,eohrigwfpzmjvbcdlutqnxskay@gmail.com
Denis Bondar,Developer,gzylfqpemikruwtodcabxshvjn@ukr.net
Paul Mahno,TechLead,couqivaeydhsmpjftlzkrxnbwg@ukr.net
Kate Bondar,Developer,sygvkcljfwaoqnmitxzduhbper@ukr.net
Paul Kovalchuk,TeamLead,oswmpgcejdnazkyuftrqibvxhl@i.ua
Kate Shevchenko,TeamLead,qhvemnrciujogtyxkzsldbwfap@gmail.com
Paul Kovalchuk,TeamLead,fcrvuokynebwqxdmspltjigzha@gmail.com
Denis Bondar,PM,tedhosckzwpginqfuvbyrxjaml@i.ua
Kate Kovalchuk,TeamLead,xempczdifhlabkgrnvstuwoqyj@ukr.net
Paul Kovalchuk,TechLead,shqcgobduzlepntrfxkmiyvajw@ukr.net
Paul Kovalchuk,TechLead,eiytmabjhnqscpvgzoflrwkuxd@ukr.net
Paul Bondar,Developer,rnyfltszhdvubpwiemackxqojg@ukr.net
Paul Bondar,TechLead,megtrvhoiydkfapzwluxcnsbqj@i.ua
Kate Mahno,TeamLead,ayvrzkqnjfuopsmticexgbwdhl@gmail.com
Denis Mahno,TeamLead,ueftbpjromkayhgsvncqzdxilw@ukr.net
Olha Shevchenko,PM,dfyxovugqlamcirpwsbtkezjhn@gmail.com
Kate Mahno,TeamLead,gjufwnmdtpehrzovsicqblkxay@gmail.com
Kate Mahno,PM,pjfxrhdymiusgbtwcnlakvzeqo@gmail.com
Paul Shevchenko,Developer,mrqhkligsueczdywavonfbxtjp@gmail.com
Denis Shevchenko,TechLead,wrmgkjtaihselbvoxznypcqfdu@i.ua
Denis Mahno,TeamLead,lqpyecxoshudjwtkrvgbamnfiz@ukr.net
Paul Mahno,Developer,dskujontcxrqzpelbvmwfhgyai@i.ua
Olha Mahno,TeamLead,oyherlnzwbcuxvkfqpitjgsamd@ukr.net
Paul Shevchenko,PM,zkugtvaeqcfdjribpmnoshxlwy@ukr.net
Kate Kovalchuk,TeamLead,mrkbnueatgsqwlyzidxvjhfocp@ukr.net
Kate Mahno,Developer,lodxwsfhmzjpcvkebutqyrniga@gmail.com
Olha Bondar,TeamLead,zvwdlcnkhtrfqbeomiajyuspgx@gmail.com
Paul Bondar,TechLead,hqrgxysvwicelmdfktaunbzpoj@ukr.net
Kate Mahno,Developer,owymtnifalbxjcprudvqgzhske@i.ua
Kate Shevchenko,PM,ploydsimrtwxeqknchjfbguzav@gmail.com
Denis Bondar,TechLead,ezhxtdqvyaspbirgcwkljnfumo@i.ua
Paul Bondar,TeamLead,kzgulyfwcrhosdaenvxiqbmtjp@i.ua
Olha Bondar,TeamLead,mnaevycuohjtiqfpbwdzrxgkls@i.ua
Olha Mahno,TeamLead,gmfpekqudnywozbhvaxlsrcijt@gmail.com
Olha Bondar,TeamLead,etockgnzqysilwpmubjdxrfhva@i.ua
Olha Shevchenko,TechLead,zrwdvncsgybealkqfmxithjpou@ukr.net
Denis Shevchenko,Developer,dboihlvmyrqjsckxuepgtnwzfa@gmail.com
Kate Mahno,TechLead,mdgfeksnpyxuzrclvtjbahwiqo@gmail.com
Denis Shevchenko,Developer,sptmyveuafqzjhdgnkoiwclbxr@i.ua
Kate Bondar,PM,bvcpnmrsxjoakueiwdztyglqfh@ukr.net
Olha Shevchenko,TechLead,lymjhqdixkrnbwguaeoszpvfct@ukr.net
Denis Shevchenko,PM,jrpbxhakuimvqzwdgnyeloftcs@i.ua
Kate Kovalchuk,PM,jfornsizmkgxcylaedbtwpvqhu@ukr.net
Olha Kovalchuk,TechLead,awvlyxqdpjzkgcbrmnoitfhues@ukr.net
Olha Mahno,TeamLead,vjnwhiblzqmefgdyopcxutarks@gmail.com
Denis Kovalchuk,TeamLead,sbziyhackjtmqolepdrxfgvunw@gmail.com
Paul Mahno,Developer,yxtkwbrgndmqhjeflozuvcpsai@ukr.net
Denis Mahno,TechLead,dfsgoqecabxupnvryhmwtilzkj@i.ua
Paul Mahno,Developer,qhctudikogjmbfxpelzryvnwsa@ukr.net
Paul Kovalchuk,PM,rqbuhfdtyzxismvkjgeloapcnw@i.ua
Olha Kovalchuk,PM,sqepcfgarwknmltxvijhbozydu@ukr.net
Kate Shevchenko,Developer,esjgihnypawtomluvrxfkzbqcd@ukr.net
Kate Kovalchuk,PM,mcefbknwtdphlvigqyxurzasoj@gmail.com
Paul Bondar,PM,hekcuwzagsqxvtfyomlrbpdnij@i.ua
Kate Shevchenko,Developer,mipdeshzqokxwalytgucvbjfrn@gmail.com
Olha Bondar,TeamLead,qmxshnizwygupeldocatjvrkfb@ukr.net
Kate Mahno,Developer,rpabszkqegcyftxdwhujnlvoim@i.ua
Olha Bondar,TeamLead,enruxtsfikzcwjbmhqlyadgpov@gmail.com
Olha Shevchenko,TechLead,rcgfaqomunpxbyjdhewivztlks@i.ua
Paul Shevchenko,TeamLead,ijnxzdgowrqeflyvamthbskucp@i.ua
Paul Mahno,TeamLead,krapiqgysondlfmhvwexcbjztu@ukr.net
Kate Bondar,Developer,fymwihjlpkcubqnsegxotrvzad@ukr.net
Denis Mahno,TeamLead,pjbhkmtcndgzxoqirevsyafulw@gmail.com
Olha Kovalchuk,TeamLead,uybhvsrkdwxofqnipgtjmazlce@ukr.net
Paul Kovalchuk,PM,vjhnidbmxzotcwfgsyleqparku@i.ua
Paul Mahno,PM,inymvfegplhtukqxdzjrabwosc@i.ua
Denis Bondar,Developer,ydokwqtvinzjbarghecxfsumpl@ukr.net
Denis Shevchenko,Developer,ymlguqothzcpardsvkwjefinbx@ukr.net
Kate Bondar,Developer,mcaonsbtkljwrevihpfugxzydq@ukr.net
Olha Mahno,TechLead,rcgnpqabjwfdmxsiolhytzukev@ukr.net
Paul Shevchenko,Developer,fizarbuncqgytmhwxlvedpsokj@gmail.com
Kate Shevchenko,PM,sxfwnakvequzrtpilgobyhjmcd@ukr.net
Olha Bondar,TeamLead,zkcsjwirpmngfvxoelduthbqya@ukr.net
Kate Bondar,Developer,gmluboprkfjqsdtihyenxazcwv@gmail.com
Kate Shevchenko,TeamLead,stvfpzkxhuqcrlondagjbywemi@gmail.com
Paul Kovalchuk,TeamLead,cynsptwdqigmkzjhvbrxaeufol@ukr.net
Paul Bondar,Developer,ulpoxhqbifjmewtkdancyrgsvz@gmail.com
Kate Bondar,PM,crxawlysfjuzngvemtqdpbohik@i.ua
Paul Bondar,TeamLead,inkgywrqzapuscvdmltbexojhf@ukr.net
Denis Mahno,PM,fejuphoinkmclravsqbdtwzxyg@i.ua
Olha Kovalchuk,Developer,soralbtpqfcyudnkwhxveigjzm@i.ua
Olha Kovalchuk,TeamLead,bjvkenuzompxadfigwthqcylsr@gmail.com
Kate Shevchenko,Developer,vcrdimhyjqfzwtpbgosalkxenu@ukr.net
Paul Shevchenko,Developer,tokdngmwyjuzqrxpvcsilabhfe@gmail.com
Olha Kovalchuk,TeamLead,khosiedrtnmfvubxplyzcajgwq@ukr.net
Kate Kovalchuk,Developer,zkywfmhavluxjdecbiqorpsntg@i.ua
Kate Mahno,TechLead,abszeihkuydgtomvrxwqpnlfcj@i.ua
Paul Bondar,TeamLead,piqyczvabhjloftuewrdxnkmgs@ukr.net
Olha Shevchenko,Developer,hletmyowzncfkbgiqsjvdrpaux@i.ua
Olha Kovalchuk,Developer,qasvimtznbjgepdkorwhfcxuyl@gmail.com
Olha Kovalchuk,TeamLead,liyqcuodsmvbrkgajentxpfzwh@i.ua
Denis Shevchenko,TeamLead,habzcwdeunyxtlgovpqkfjmsri@ukr.net
Denis Bondar,PM,ynefdbuqawjsrpzkholtivcgmx@ukr.net
Paul Mahno,TeamLead,njygdkruqmpctihlwzvxoefbas@i.ua
Denis Mahno,TeamLead,ounsfcagwkmxbjdrpyelvhzitq@ukr.net
Denis Shevchenko,TechLead,oyuekpbctfaxdjnwzrgqmvishl@gmail.com
Olha Shevchenko,TechLead,xhteaqpkdwjnguvlycbirmsofz@i.ua
Denis Mahno,PM,ecqnhsgrfxtzlujmkvadwioybp@ukr.net
Kate Shevchenko,Developer,sbtiweyurgcnfzvjldamkohxqp@gmail.com
Olha Kovalchuk,TeamLead,tzgvxbhicoysjqeurdwamnplkf@i.ua
Kate Shevchenko,TechLead,alqbnguxfpezhrismtwckjdvoy@gmail.com
Kate Bondar,PM,mbdyjphkxcwgvasfezinqlturo@gmail.com
Paul Kovalchuk,TechLead,jeifdcxgarkowpshqvmtynluzb@gmail.com
Denis Bondar,TechLead,kofgtphrbaxnewqyimcvujdzls@i.ua
Paul Bondar,Developer,yqpofbhrkdgasmecwntixzvlju@i.ua
Kate Kovalchuk,TechLead,xafhdgrkutsqnmzlvwcopjybie@gmail.com
Kate Bondar,Developer,kfjwoeqvzprdbicxamhgnsluyt@gmail.com
Kate Shevchenko,TechLead,qmvrijfdtcseabhpuylokgxznw@i.ua
Paul Mahno,Developer,wugyhxlotqjepkszavfdrcminb@ukr.net
Kate Shevchenko,TeamLead,ngruvmspiwkdoybqjhtfexalzc@i.ua
Kate Shevchenko,PM,vpdfyztgwqxlskmnorhejauibc@gmail.com
Olha Kovalchuk,PM,jbfczhmwgrxtlqnyopedvuiksa@ukr.net
Olha Bondar,Developer,jipgtrskdmfwcnyzeboquhaxvl@gmail.com
Denis Mahno,TechLead,apzuqrbehfxgvcjownimytsdkl@ukr.net
Kate Bondar,Developer,yochlnewsmptjrzuavikgfqbdx@ukr.net
Paul Bondar,PM,ydranqkexglwvthucopjzmbisf@ukr.net
Kate Mahno,PM,gohcsmqzbefutrlvxindwjypka@gmail.com
Olha Bondar,PM,ufphjeicoxkbqdstmrvyzgnlwa@i.ua
Paul Kovalchuk,TeamLead,dsmqtzvrjbpcyaoufgwinelhkx@ukr.net
Kate Shevchenko,TechLead,akcrjgnwpetbsidumofxhvlyqz@ukr.net
Kate Mahno,TeamLead,ikptzeqanuxscyjfmgdrvbhwol@ukr.net
Olha Shevchenko,Developer,kmfcrpubjwgvyxitnshqodzeal@ukr.net
Paul Shevchenko,TeamLead,riqtkwsnfdxlcbuzohpayemvjg@gmail.com
Denis Bondar,TeamLead,njbpykdgxzocmhefilvsrqatuw@i.ua
Paul Kovalchuk,Developer,hteqbvpmznolyxgjkfdruicasw@i.ua
Kate Mahno,TeamLead,exnmkbuyolafqhwrivdpsjgtzc@ukr.net
Paul Kovalchuk,Developer,djvtlnxmfpkaezhyrquwbgocis@gmail.com
Kate Mahno,PM,ismranltozxgbhkecvfdpqwujy@gmail.com
Denis Kovalchuk,PM,tfahiqmcsxpbzewkdorujlyvng@ukr.net
Olha Shevchenko,TechLead,opdabzxlcfqjksmieuhgrnvwyt@gmail.com
Paul Kovalchuk,TeamLead,wzlgcxrivujfomsqpkehtbdnay@ukr.net
Olha Shevchenko,TechLead,emtyowbjrasnfzkqpxdhcluvgi@gmail.com
Paul Mahno,TechLead,dfkqslrctagojeiyvhwuznxbpm@ukr.net
Paul Kovalchuk,TeamLead,zckrgwxymqtjdvhbopafuseiln@ukr.net
Kate Bondar,TeamLead,vhrtagijlnudpsqwbomxezkfyc@ukr.net
Olha Bondar,TeamLead,bemrvgyjtshnakpxlqdcwiouzf@gmail.com
Olha Bondar,Developer,tughrypkwzbasovmxeqdflijcn@i.ua
Denis Mahno,Developer,yfoiabhwtzlmrsdcnkugjvpeqx@ukr.net
Denis Shevchenko,TeamLead,gldotzpbqvjusnarxmfkwhciey@ukr.net
Kate Bondar,TechLead,ujzaykfhqgbtsecxdlmwopnriv@i.ua
Kate Kovalchuk,TechLead,palxoscvjrtqzygfkhmuiebwdn@gmail.com
Olha Kovalchuk,PM,ycvhmjzrobtkwaxfgdnluieqps@ukr.net
Olha Mahno,TechLead,sqhbwkcajiyeuxogzfmvrndtpl@i.ua
Paul Shevchenko,PM,hlzkasgupocitrqfxejmndwvyb@gmail.com
Kate Bondar,Developer,dxfcaunyzrjekqpgohitwmlvsb@i.ua
Kate Bondar,TechLead,awtcjzeniqyublofdxhgvpmskr@i.ua
Paul Mahno,Developer,swbqjnvyrmhgltkxfuipzdecoa@ukr.net
Denis Shevchenko,TechLead,hqrovpezbiykdacgxtljsnumwf@ukr.net
Paul Bondar,Developer,vyquzkeothraijnclgwbspfmdx@i.ua
Denis Bondar,TeamLead,vqpkminhtwyoufejdaclxzsrbg@i.ua
Denis Mahno,TechLead,abqwlojtueskhgmypdrnicxzvf@i.ua
Olha Shevchenko,TechLead,kwybqlmiuafjeztrdhosngcvxp@ukr.net
Kate Shevchenko,TechLead,zovalwgurbtjhfpsicynedkmqx@gmail.com
Olha Shevchenko,TeamLead,flwtygsmhkzvbodeqxcpnrijua@gmail.com
Paul Kovalchuk,Developer,wsaivktzbnercofpdlhjgqxmuy@gmail.com
Denis Kovalchuk,PM,yeiguolwcavmqspkzhtdbnxfrj@ukr.net
Kate Bondar,Developer,lwfpouxgjymarvcihqznkestbd@ukr.net
Denis Kovalchuk,Developer,mawvrzqfdlkyhjtbexngoipucs@ukr.net
Denis Mahno,Developer,csxfvngpzbewdjuyrklmtoihaq@ukr.net
Paul Kovalchuk,TeamLead,srlghfbwxdpmcytkaozeuvnqji@gmail.com
Paul Kovalchuk,TechLead,jeyrxobgpqwdfmivltckzunsha@gmail.com
Paul Kovalchuk,TechLead,ipklzqmjsteuoxcbnadrvfghwy@ukr.net
Denis Kovalchuk,PM,wtfphsdrqmvjgxenziablocuky@gmail.com
Denis Mahno,Developer,wnsbidfpvgjzxlkuhcyeoatqmr@gmail.com
Kate Shevchenko,PM,tzfmhvlkwbnquaricxodgesjyp@ukr.net
Paul Bondar,PM,riaxjybdlopkfqvngcwemszuth@ukr.net
Kate Mahno,TeamLead,gdvqpaslhcuextkryjzbfonimw@gmail.com
Kate Mahno,PM,ohbzyxdkjnqtrlsvpewigfmuca@gmail.com
Paul Kovalchuk,TeamLead,jxmonhfklzbgptcsiyurevqdwa@ukr.net
Olha Kovalchuk,PM,dkgsyabjzntomfqvwixhurpelc@ukr.net
Kate Shevchenko,PM,edsjzbcfvgythqmnpikxraluwo@i.ua
Denis Bondar,PM,cxzulkrmvnsjaybghtodfpqwie@i.ua
Paul Mahno,TeamLead,koqanrweguszdivtjcmbxlfhpy@i.ua
Denis Kovalchuk,PM,jhiqpovsnarlgwuzxybektfdmc@ukr.net
Denis Bondar,Developer,sxwdcflhbzygqtakuimeornpjv@i.ua
Paul Shevchenko,Developer,dzsihgfltbyejqkaoxvunrpcwm@ukr.net
Kate Mahno,TeamLead,xhyumdobsaztfrpwenkqgjvcil@i.ua
Denis Shevchenko,TeamLead,tejawlfqovsxginkmrbdphuzcy@gmail.com
Kate Shevchenko,Developer,ahmzcieqwnjfrydosxpkvulbgt@gmail.com
Kate Shevchenko,TechLead,axctvnhpyrzdbkfmgjwosuqiel@gmail.com
Denis Shevchenko,Developer,xwldsiprjnqoehbvmfzktuacgy@ukr.net
Kate Kovalchuk,TeamLead,prcusnyodztfhgbxiaqjwvkelm@ukr.net
Olha Shevchenko,TeamLead,cjdgpwounqblhykxvfmisrzeta@ukr.net
Paul Shevchenko,TechLead,mqnkwcgyzjxoeutfdabhvilprs@ukr.net
Kate Kovalchuk,PM,hfbntdsumcvxrpkweygjqailzo@ukr.net
Paul Bondar,Developer,sqtmuxgnbjwpokafiyzecvldrh@i.ua
Denis Kovalchuk,TeamLead,zybkruhmsextvifdgcoapnjlqw@i.ua
Paul Bondar,PM,wfvnmthyrzgcqojixbdeuklasp@ukr.net
Denis Mahno,TeamLead,nsmtycwrxbvhoekjdilqafzupg@gmail.com
Olha Shevchenko,Developer,livfucebqhawdtznkgxorsjpym@ukr.net
Olha Kovalchuk,TeamLead,xiywpvgdureqckolfbsthjzman@ukr.net
Kate Kovalchuk,TeamLead,mrtxodpnayufcbzsvlwqhjkgei@ukr.net
Paul Mahno,Developer,osjmkcqubnrwavflgxhizdtepy@gmail.com
Olha Bondar,Developer,sqlerjphtuovdwbxzkmycgfnai@i.ua
Kate Bondar,Developer,uocenhrkvmqswpagxbjdfiyzlt@ukr.net
Paul Mahno,TechLead,oyslvwirmnzkdahfcpqjtbexgu@i.ua
Paul Kovalchuk,TechLead,vwultnsjgcimrapkfqyzdhxobe@i.ua
Kate Mahno,PM,yzlmkjqdigrvasbefwunpothxc@i.ua
Denis Mahno,PM,yqdrlxhevstkcbmponauifzjgw@ukr.net
Denis Mahno,PM,htmkalepofzsvudnwiyqxcjbgr@gmail.com
Paul Shevchenko,PM,koazhdwfyvlnxstbujmgrecpqi@gmail.com
Denis Bondar,PM,uglysfwpvdzkirjbtochanemqx@i.ua
Olha Shevchenko,PM,ofjclizbpnrgmsetkywqavudhx@i.ua
Denis Shevchenko,TechLead,krmeatofgsjviucwdqnxhyplbz@gmail.com
Olha Shevchenko,TeamLead,plfsugrdxzntabhwmkcviyejqo@gmail.com
Kate Mahno,Developer,sdepufjqhtzcawgvnbxoliyrkm@i.ua
Kate Shevchenko,Developer,gwtouzdxybkmsnvhriqjfcealp@gmail.com
Paul Kovalchuk,TechLead,ahcxgzoinmkvbuersdpyfljtqw@ukr.net
Paul Bondar,PM,sqaouhpbkrxlzevdgfyjncwmit@ukr.net
Olha Bondar,TechLead,lwudygftvjbrnsacpezmikqxoh@i.ua
Olha Shevchenko,Developer,qgzhfbmeuvcitwkanorjspydlx@gmail.com
Olha Kovalchuk,Developer,jaercbdwnkpxzhsyogivlmfqut@i.ua
Olha Mahno,Developer,wkjurznpbtfvcsxyaelmigodqh@gmail.com
Olha Kovalchuk,Developer,jbmoqfckerslitwpgadnvxyhuz@i.ua
Denis Shevchenko,TechLead,qtekohfwpgncbirudxvmlysjza@gmail.com
Denis Mahno,TeamLead,zryvisjkhtofpwacnquldebmxg@ukr.net
Paul Bondar,Developer,wbfksmvilojtpnyxrcdezhqagu@ukr.net
Olha Bondar,Developer,gxbcalhwvptimykrjfdqzsuone@gmail.com
Denis Mahno,TeamLead,hsekrtaiwqfgpyuomdzvxljbcn@gmail.com
Olha Bondar,Developer,khqecvowiuflxybrdnsgpatmjz@i.ua
Kate Bondar,TeamLead,jdfbwgzqtnuicohkrseyalpmxv@gmail.com
Denis Shevchenko,TechLead,mtgcernjsxifkwuoqvphzdlaby@gmail.com
Paul Bondar,PM,rybngskmxzahwljufoqevcdipt@i.ua
Paul Bondar,PM,rwdlmybuceszohtxkpjgniqafv@i.ua
Olha Kovalchuk,TeamLead,plugdjravxhysmiecnokbzqtfw@ukr.net
Olha Mahno,PM,pdbknjezuqvwahcltogsrxyfim@gmail.com
Paul Kovalchuk,TechLead,pbgunvamyhjriwldtqzfeskxoc@ukr.net
Paul Shevchenko,TechLead,gkiheztwuflnsvqbrpaxdocjym@i.ua
Paul Shevchenko,PM,gutqrhielmxyksbwofzjcdanpv@ukr.net
Paul Shevchenko,PM,tmhwcsngxpqvulifkrayzjdoeb@ukr.net
Olha Shevchenko,Developer,atkcrdqiwxmjfshbgyeuonpzlv@gmail.com
Kate Shevchenko,PM,avglhqxiwfrnkbyjdmztsoceup@ukr.net
Denis Kovalchuk,PM,dahrmkfvgjqleysbwutpconixz@gmail.com
Paul Shevchenko,PM,prkwxjmsbgdqlyuefncaovziht@i.ua
Olha Kovalchuk,PM,gdktheipflvuwznbacjxyroqsm@i.ua
Paul Kovalchuk,PM,xjodmlnbkietwvuqhprfagyczs@i.ua
Denis Shevchenko,PM,cpuhyizgaqlentsjmodfrxbvkw@i.ua
Olha Shevchenko,Developer,ozgiselnavkjpxtqyhrfcwdbmu@i.ua
Paul Shevchenko,PM,fbwyasqhlzcgpteijodxnruvkm@gmail.com
Kate Kovalchuk,PM,epdlicjbmxsfwvrogauznqthky@i.ua
Paul Shevchenko,Developer,nzxbrqmikgstyvloapecjhfduw@gmail.com
Denis Kovalchuk,TechLead,tlqskrunypidocvjzgmewfbhxa@i.ua
Olha Bondar,Developer,agmnsbzpqtcvrjdxwohifelyuk@gmail.com
Olha Kovalchuk,Developer,bncwxzslidotmhvjfrkgeyqupa@ukr.net
Olha Mahno,Developer,fyjxtkcplehwzndimvgusbraqo@gmail.com
Olha Kovalchuk,TeamLead,audbycfzvthkmgpqsjnrolxeiw@gmail.com
Kate Kovalchuk,Developer,zjiugbwsoayctfhkdvmpqnxler@ukr.net
Paul Mahno,TeamLead,ktjblfuhcigozwxrndvasyeqmp@gmail.com
Paul Bondar,TeamLead,spfdniubojzxkwyrvceghlaqmt@i.ua
Denis Bondar,TechLead,andflrwvxjboeycsztgquhimkp@ukr.net
