Полное имя,Работа,Емайл
Paul Kovalchuk,TeamLead,cnyxidjfrhavkgbtzewpuqmosl@ukr.net
Denis Bondar,TeamLead,dvxqngzkfpjhabiwsuymcoetrl@gmail.com
Kate Kovalchuk,Developer,kdjnswiqytclohpebzvxaumrgf@i.ua
Paul Bondar,TechLead,tusplbkwoazxrfjnymceqhdigv@gmail.com
Denis Shevchenko,Developer,cjbywoxuisldteagnfhvzpkrmq@i.ua
Denis Kovalchuk,PM,pxsqjvwnrbmeclgoyztakdhfui@ukr.net
Paul Kovalchuk,TechLead,nbqtpclraxyovjfishwzdgkume@i.ua
Kate Mahno,TeamLead,uaopyqwjnvxsdebfcrimzlthgk@gmail.com
Olha Shevchenko,PM,xbrcmlvwfoijqgtpzasdnyekhu@ukr.net
Paul Bondar,Developer,afvtruqwobeljnmyhkczisgdpx@gmail.com
Paul Shevchenko,TeamLead,jwmhqkdpfreszvguxycblitnao@ukr.net
Paul Mahno,TeamLead,vbjrgtkcyiezlsmphofdaqxnuw@gmail.com
Denis Bondar,TeamLead,yeflquzbdpxtkjmwrigvsnocha@gmail.com
Kate Kovalchuk,TechLead,vecxsuhionmdrgkpblqazfjywt@ukr.net
Kate Kovalchuk,TechLead,qzljmgbrinuvdaxfksctoehwpy@gmail.com
Kate Mahno,Developer,uvdtzwckjmxlaoqbfniyegprhs@gmail.com
Olha Bondar,Developer,ypejdirtacxgunholfmksvqbwz@gmail.com
Paul Mahno,TechLead,aslnqgpoxchetdkzjuyvwmfirb@i.ua
Kate Shevchenko,PM,lkrejouzpdnyihgaxctmsqfwbv@i.ua
Kate Bondar,PM,zmyaovlqwsuchertjigpknfdxb@ukr.net
Denis Shevchenko,Developer,exnkuwrqzoifapsmltycvdhgjb@i.ua
Denis Kovalchuk,PM,zbpnkilsyoftchugawqvedmjrx@i.ua
Paul Shevchenko,TechLead,wrjimgufdqevsybanlzkxchpto@i.ua
Paul Shevchenko,TechLead,eozupxkbfjtrnsghwvydaicqml@gmail.com
Denis Shevchenko,PM,uanqdvjtyrcgplzhfskxoemiwb@ukr.net
Paul Mahno,TeamLead,qfitdnvyhljzubwrcpoxmkaseg@i.ua
Kate Bondar,TeamLead,whmqkvtpdbcrnojiealxfzysgu@i.ua
Olha Bondar,TeamLead,fiumobgclxhpasjevwrzknqdty@ukr.net
Denis Bondar,TeamLead,avtbrumhyfelwzognqpckdsijx@ukr.net
Kate Shevchenko,TeamLead,ratqweiovdlnjkxmyfucspgzhb@i.ua
Olha Mahno,PM,ecsigkqpuzxrfovlwhjmdtbayn@gmail.com
Denis Kovalchuk,TeamLead,yuidjhotqvwlfxbemrpsngckza@gmail.com
Kate Bondar,TeamLead,cvkoyzxptrdqbwnmfeulasijhg@ukr.net
Paul Shevchenko,PM,pdxsutjekiahfmgylonwqrbvcz@ukr.net
Denis Bondar,Developer,lsqvcnyzwofdakjbmetuxpghir@gmail.com
Kate Bondar,TeamLead,irzpblgtaqdmfucneoxyhkwvsj@ukr.net
Denis Shevchenko,Developer,qbhpvjuwfmredstckliyogazxn@ukr.net
Olha Bondar,TeamLead,mtgxeqaczvysklojrwdnipubfh@gmail.com
Denis Bondar,Developer,zouqecnywtxiamdpjglbkvrsfh@ukr.net
Denis Mahno,TeamLead,ukzjvefgmyqlshctrodpwaxinb@i.ua
Denis Shevchenko,TeamLead,yawfmxnkzljoephvdcstqubrig@ukr.net
Paul Bondar,TechLead,xldruihmyjwoqaetcvzbkgspfn@ukr.net
Olha Kovalchuk,TeamLead,cyjprqohsmaegxzldtvknfwbiu@gmail.com
Olha Bondar,TeamLead,agphideklcumyvwxnrbztqofjs@gmail.com
Kate Mahno,PM,lxgipazcwqmbfeydrknsjhtouv@i.ua
Paul Shevchenko,TechLead,xywvtfklmjnudrespcaogbhzqi@gmail.com
Paul Shevchenko,Developer,dvreaglpwcomxsjtuhfnqzybik@ukr.net
Olha Shevchenko,TechLead,eqsbvxufrgowtclznyjmdpkhai@i.ua
Paul Shevchenko,PM,buwatqxkrfoziljmpchendvgys@ukr.net
Paul Bondar,TeamLead,tpcgasrhudzvyiblejfwoqknmx@i.ua
Denis Shevchenko,PM,ngjkbisahzwpfdmcoyvxrltuqe@gmail.com
Olha Bondar,TeamLead,ixdnumsazrgflvobhypctejwkq@ukr.net
Kate Kovalchuk,Developer,hlsuaycrbvkdmezfngitojqxpw@i.ua
Paul Kovalchuk,TeamLead,jwdxehmfousyzcnklitqarpgvb@ukr.net
Olha Shevchenko,PM,mpqjzotekafysbwdvcuhxlnirg@ukr.net
Kate Shevchenko,PM,vbydjwlicgqxmhpfaestnkrouz@ukr.net
Olha Bondar,TeamLead,qxgyvpbsumiojatckrfdzlnewh@i.ua
Kate Bondar,Developer,qcohfuitvskarnzlxgjdwpbyem@gmail.com
Olha Bondar,Developer,gmdjircvtenuzxkohafqswypbl@i.ua
Kate Mahno,PM,bilhnamqupfyrcowgexvjszdkt@gmail.com
Denis Mahno,TechLead,tdkvljqzacfrobpeuhyswmngxi@ukr.net
Paul Shevchenko,Developer,jdbnzwxvkhoagsuficqepymlrt@gmail.com
Kate Shevchenko,TechLead,tjifkmbalpqcdyrxhsuwogvnze@i.ua
Kate Kovalchuk,TeamLead,uwampbgqxsozijkncrtyfdvhle@gmail.com
Denis Mahno,TechLead,litfwvgryxkqabunjepdzcshom@i.ua
Denis Mahno,Developer,ehkzisajqvtlcwbdruxmongypf@i.ua
Kate Kovalchuk,Developer,fqvoitwybkxnpslehzucgjdmra@ukr.net
Kate Shevchenko,Developer,gswhjtaiublkmnecfqrxpyzodv@i.ua
Olha Kovalchuk,TeamLead,xnblyfuvsrgpaezcwtmikojqhd@ukr.net
Paul Kovalchuk,PM,zyhoxvewkaqnpimsltrcbjdgfu@gmail.com
Kate Shevchenko,Developer,zvcgemkylfjdpbuioqthranswx@gmail.com
Paul Bondar,PM,bjfgliptvezwmarnshxqyucodk@ukr.net
Denis Bondar,PM,qybjtiaxszgfcenpovulkmhwrd@gmail.com
Denis Bondar,TechLead,vnmdqgsayeflcrukithzobjpwx@gmail.com
Paul Shevchenko,TeamLead,caniduogjpverlwstqbhkfmyzx@i.ua
Denis Kovalchuk,TechLead,rphklywodbqftcsuvnezgamjix@i.ua
Kate Shevchenko,Developer,lpqwmvrcxetnjkzyhibsfodaug@i.ua
Denis Bondar,Developer,mhsblqwjuicankzvredxgotypf@ukr.net
Olha Shevchenko,Developer,sronvlfqcidywmegtkpbuhzajx@gmail.com
Denis Bondar,Developer,zfxtpawuhysniocjdlkrqevgbm@gmail.com
Olha Mahno,TeamLead,bsajfoqvdtriweyxlhpgczukmn@gmail.com
Kate Kovalchuk,Developer,lefzktcmswnxvauprioyqdhbjg@i.ua
Paul Mahno,PM,lvdonwbqpceikzryfhgjsmtxau@i.ua
Paul Shevchenko,Developer,ajosmwpqkdlehuzitvcngxfyrb@ukr.net
Kate Bondar,Developer,wlqrbgsdncjtevamuhkyzxipof@gmail.com
Olha Mahno,PM,ifkanvwgcqmbtjxrupesyhdzlo@ukr.net
Olha Bondar,TechLead,mvcltnraukgwszphdqyoiebjfx@i.ua
Olha Kovalchuk,PM,aqrhmufzdctwlyosnpebxkigjv@ukr.net
Paul Kovalchuk,TechLead,yuogzvfsmiqldcjtbnaxhrkwpe@i.ua
Paul Kovalchuk,TechLead,hustzqvfpmdxeyjknogwaiclrb@gmail.com
Paul Mahno,Developer,ehuaqcgpdzxlwtrbyvnkismofj@gmail.com
Olha Kovalchuk,PM,plfzcwvigyjhdqxenkboustmar@gmail.com
Olha Kovalchuk,PM,bcrtkqisdmlngxpwyezfajouvh@gmail.com
Denis Shevchenko,TechLead,wghbdelsyutpvmcxzoqnfkajri@gmail.com
Kate Shevchenko,TechLead,sclrevtoykqzwjdmugixfnpbah@ukr.net
Olha Bondar,TechLead,hcygojibuvnsftdlwaexkzqrpm@i.ua
Kate Bondar,Developer,fwmezoyuajqvrbhdscilpkgtxn@i.ua
Olha Bondar,TeamLead,vkiogqsrwpxzuhneadcybmjtfl@gmail.com
Olha Kovalchuk,PM,jnsowevzuydclxabkgmhqritfp@gmail.com
Olha Kovalchuk,TechLead,gidhncxbzkuywvasqotrmflpje@i.ua
Paul Mahno,TechLead,hdpnczfsrbwyjxigotuqemlakv@i.ua
Olha Shevchenko,Developer,qdxypokbuhlscvenzmirgawfjt@gmail.com
Denis Bondar,TeamLead,gnemdukibayfhtvxqrjwczlops@ukr.net
Olha Shevchenko,TeamLead,tepxmqavhkynogbzrsdwcjliuf@gmail.com
Denis Mahno,PM,xwtpzmyhfkjsvecgqioadulrnb@i.ua
Denis Mahno,TechLead,qkwdynaobmshevxglzictfrujp@gmail.com
Kate Mahno,PM,ixnyguhdwsclkrztvmobpqfjae@ukr.net
Olha Bondar,Developer,lwtemscrvuofgxhkniadzpjbyq@gmail.com
Paul Bondar,PM,qkdhoguwlpiysearcfnxjbmzvt@gmail.com
Olha Mahno,TeamLead,ltjxsngkmqdfwyhcuapezorbiv@i.ua
Paul Shevchenko,Developer,smdlrzbfjvtynxqugcakoiwehp@i.ua
Kate Kovalchuk,TechLead,zvlegopfasnqrkbdmhciytxjwu@i.ua
Denis Bondar,PM,uhogxbfmzsvcjanipeywkrdqtl@i.ua
Olha Bondar,PM,vsxcouqzedmhrbplkyjiwgatfn@ukr.net
Olha Mahno,TeamLead,rcljbhpksxwygfetudnmovzaiq@gmail.com
Denis Shevchenko,TeamLead,mgkyhfwizxdapclbnjqresvtou@i.ua
Kate Shevchenko,TeamLead,bforzpmaykuvhegcisdxwtnqjl@ukr.net
Kate Kovalchuk,Developer,tzygpkfviworahumbdjeclqnxs@gmail.com
Paul Mahno,TechLead,crulfjntpyigakqvmoxsdhzewb@gmail.com
Denis Bondar,TechLead,slevtxjaqzwubihkrnfodymgcp@gmail.com
Paul Shevchenko,Developer,goditczrpahnbwmuslxyefkqvj@ukr.net
Paul Bondar,PM,penwlyakroustgczhfixmdjqvb@gmail.com
Denis Mahno,TeamLead,rvdbgipzqfwkuhoxamnyjsltec@gmail.com
Denis Kovalchuk,TechLead,aivtnrwzufycjphsxglekdmbqo@gmail.com
Kate Shevchenko,Developer,mxgarpolhysuibvtqzkcdwjefn@ukr.net
Kate Shevchenko,TeamLead,zoudkphwfalejrvsqxtibygmcn@i.ua
Paul Bondar,PM,tsvndlcoifgmarywhkqebuzjxp@i.ua
Kate Mahno,TeamLead,iprukltahjesgnfbxvwmdqcoyz@gmail.com
Kate Shevchenko,TeamLead,kuzaihqvdwyjbremgpfnxslcto@ukr.net
Olha Mahno,Developer,qtynvcrehdzxpgfbkimuoslajw@i.ua
Kate Bondar,TeamLead,ywxleqaznjuocspdmrfkhgbvit@gmail.com
Paul Kovalchuk,PM,yslajwretugvnhfpcoxkibmdqz@ukr.net
Denis Shevchenko,Developer,tkpvclbodmjsgnzyeiwxqfruha@gmail.com
Olha Kovalchuk,TeamLead,hjzkepoavtyxbniusqwlgcdmfr@ukr.net
Kate Mahno,TechLead,jsrvdtelobzuwiqfkhcnaxpymg@gmail.com
Paul Kovalchuk,TeamLead,myxhjgclknwdsqvbrpoiautefz@gmail.com
Kate Mahno,TeamLead,lfhzivagockbeuxpqnmrwsytjd@gmail.com
Kate Bondar,TeamLead,njxwcqgbruazlpysfimhkvetod@i.ua
Olha Bondar,Developer,dqejricwygvbzanfpukxmhlsot@i.ua
Paul Bondar,Developer,apioueswqlgyfrndzkhmxbjtvc@i.ua
Olha Bondar,PM,imlvetdrybnajgpfuhqcxswozk@i.ua
Denis Mahno,PM,bznckriajglxmwfethupvdqyos@gmail.com
Olha Mahno,TeamLead,nfivrcxspatezyobwgmlqdjhuk@i.ua
Paul Kovalchuk,Developer,meosyclritpbkwjqafuxzhdvng@gmail.com
Denis Mahno,TechLead,usktiowderyaczjqfghvxlbnpm@gmail.com
Kate Shevchenko,PM,ybxlnakscduwgheqirftopzvjm@i.ua
Paul Bondar,Developer,ericqsltpuohbnfjgkwmzvdaxy@gmail.com
Olha Shevchenko,TechLead,xudbcmehrwigqklatspovjynzf@ukr.net
Kate Mahno,Developer,mcnxeuspktbifwrlzghoqdyvja@gmail.com
Olha Mahno,PM,abtzesqjlhwxmcrgvdyofikupn@gmail.com
Denis Shevchenko,TechLead,yogdtakxnerjmzhlscqwuvpfib@gmail.com
Paul Mahno,Developer,mlbhudawxngeyrkqftocpzjsiv@gmail.com
Denis Bondar,Developer,loasguqryijxnzfptwhekdcbvm@i.ua
Kate Bondar,TechLead,mjdoigebyvhslrcztanpxfukwq@ukr.net
Kate Bondar,TechLead,mguqdflzhxpanrbjvwyeokitsc@i.ua
Kate Kovalchuk,Developer,hqdgiferkyjnplbazmwvsocxut@gmail.com
Kate Shevchenko,TechLead,yvhiromqpuxcdgzknefawtjbsl@i.ua
Paul Shevchenko,Developer,awshpufvecnlyxtdqozrbmgijk@gmail.com
Olha Shevchenko,TeamLead,hqtglvwecnxkoradbpjifzmsuy@i.ua
Denis Bondar,TeamLead,nhigzkeqpjvlductaxobwrsfmy@ukr.net
Kate Mahno,TechLead,izeshmfwluvyjqdbtpacgnxkro@i.ua
Olha Shevchenko,TechLead,iyqdpnamhzxotslgbufevcjkwr@i.ua
Denis Bondar,PM,dzlmvcirguojpqwyeftshkbxna@ukr.net
Denis Bondar,TeamLead,lgqxsfybpazrmiukodctjewhvn@gmail.com
Olha Shevchenko,TechLead,nghzsavxqjwyofblcmedtkuipr@i.ua
Kate Bondar,Developer,gdclyimzwnshrajtoefvxukqbp@i.ua
Olha Mahno,PM,qagvhjydokubtmnpxsrzflwiec@gmail.com
Olha Mahno,PM,dfklbrzwygamvpthsxjequcino@gmail.com
Denis Shevchenko,Developer,yvkqhotscwjnfalbpuexgridzm@ukr.net
Olha Bondar,PM,nytkpuhobvfzdxjlmgesqciarw@ukr.net
Olha Mahno,TechLead,wpcbjkailmerxhgtuozsdqfnvy@ukr.net
Olha Kovalchuk,Developer,kiwynhpolbcrzasvfjdeugqtmx@i.ua
Olha Kovalchuk,PM,nwkjqasvipobfmuxzhtdyregcl@ukr.net
Paul Kovalchuk,TechLead,whbacqimspoxknfedgrujvztyl@ukr.net
Denis Bondar,PM,mcfnblhqxrjtigvudopewyszak@i.ua
Olha Bondar,Developer,veklqbjwpocmdaiyhnurzftxgs@ukr.net
Paul Mahno,TechLead,xluickrgqpeohfnwvsaydbzjmt@ukr.net
Denis Shevchenko,TechLead,xuctsgaidhjlqbvmfrpwyoeknz@gmail.com
Denis Shevchenko,PM,xcavbntupdygfhqsmjirolwkez@i.ua
Denis Bondar,Developer,pkuifnjxqsbotdmgchevzywral@gmail.com
Paul Mahno,TechLead,xdgowbhajpclkyisqveztnfurm@i.ua
Kate Kovalchuk,PM,hpiolkyxvgnjewmburtzqdscfa@i.ua
Paul Bondar,TeamLead,ozvtbyixraqjdkpmghwslfunce@i.ua
Kate Bondar,TechLead,liuzfywotcnegjxdrkhqsbavmp@gmail.com
Denis Shevchenko,PM,kfnmcthypdgloswzvaxeqjriub@i.ua
Paul Shevchenko,TechLead,qutvxfjdzkhaywgsprbiclneom@ukr.net
Kate Shevchenko,Developer,nwheybijrtcqzadgvfpuxsklmo@i.ua
Olha Bondar,PM,tpksemufxldzijahnyqcrogbwv@i.ua
Kate Bondar,TeamLead,bomeanwlpxfczjydrquhigtksv@ukr.net
Denis Bondar,PM,scxahjvewmuzgtrnyloqbkfdpi@gmail.com
Kate Shevchenko,PM,wmkydgrxfjupeviohcsbatlnzq@gmail.com
Olha Bondar,TeamLead,iwfkrqzljpugycsbvmtdxhaneo@ukr.net
Denis Mahno,TeamLead,knywgqdpuvjtehbfcoaslrzmxi@i.ua
Denis Mahno,Developer,xjkpwerlnimhdvctqfzaugsybo@ukr.net
Olha Mahno,Developer,idealzucjhnwfgobqkyprmvstx@ukr.net
Paul Mahno,TechLead,fvradmgpjzelwsuiqktbochxyn@gmail.com
Olha Mahno,TeamLead,dghfukrcxwanqvmlojsyebpitz@gmail.com
Kate Shevchenko,TechLead,wapcsgitbqdfyznmrjlukhxove@gmail.com
Olha Mahno,TechLead,rwacnbuqsiohjmpxkyzlftgdev@ukr.net
Olha Kovalchuk,TeamLead,ouiwqznhygevtrfmbsxkacldjp@i.ua
Kate Bondar,TechLead,zopnryxwhbavcustfjlgimkqed@gmail.com
Olha Shevchenko,PM,ucxgktfoilenvhmwbqpdsrzyja@gmail.com
Paul Shevchenko,PM,tiywfchslvpzjmuobxrkgqeand@gmail.com
Denis Shevchenko,TeamLead,lnvygwxzuhepdfoamsritbcjqk@i.ua
Denis Shevchenko,TechLead,rmhyxezsjoglnvtcbpidkwqfua@gmail.com
Denis Mahno,TeamLead,bteqonkjcgpvduisxarhzylwfm@ukr.net
Kate Mahno,TechLead,gnxlyomhuiwzdftjrkcspavqeb@ukr.net
Paul Kovalchuk,PM,thsezjripmyolfvndxqwbgucak@i.ua
Kate Bondar,TeamLead,wrjlnqkdxhbimfaugszytvoepc@ukr.net
Denis Mahno,Developer,yvqacpbkozhxefmsidlwgujrnt@gmail.com
Kate Mahno,PM,nsegyqcdkouzhjptxawvirfbml@i.ua
Olha Kovalchuk,TeamLead,ueatgdcfhspxwbziorlvnjkmyq@ukr.net
Paul Kovalchuk,Developer,uqkyofldxawtbnvgrjpceishmz@gmail.com
Kate Shevchenko,TeamLead,sutzlankjrwpbvyeodficxgqmh@ukr.net
Kate Mahno,PM,anykczjrpivsdmhuotxeqlgbfw@i.ua
Denis Mahno,TeamLead,ixkdmlruhtcqvwefpzaojynsgb@i.ua
Denis Mahno,PM,olqxbnwaycuikzhstpjvgfmerd@ukr.net
Olha Mahno,PM,xwsplbzncotdehamqvufryjigk@i.ua
Olha Kovalchuk,TechLead,grnquciybsozdjftwvahlepkxm@ukr.net
Paul Kovalchuk,TechLead,ndviaolyfpecjkbhsurgmwqxzt@gmail.com
Kate Kovalchuk,PM,pjlfdicvmyqgrbtnazsxehwuok@ukr.net
Olha Shevchenko,TechLead,esqjvxaybzdcmnikurothpfwgl@ukr.net
Denis Bondar,Developer,axvjynutwplbsgidfmqrcekhzo@ukr.net
Kate Bondar,Developer,xulartqdgsicbmfevwpohyjknz@i.ua
Olha Mahno,TeamLead,wimzahoqelptdsvfkbrxujngcy@ukr.net
Kate Shevchenko,TeamLead,skfeuvloawtnmrcdxpqihbzjgy@ukr.net
Olha Mahno,Developer,gjixrnpzqudfowtcsleakvymhb@ukr.net
Denis Kovalchuk,TeamLead,wlaxmektrofbqdhpysujzvncig@gmail.com
Denis Kovalchuk,TeamLead,vfqiogphljmxeanswryctdbzuk@gmail.com
Olha Kovalchuk,TeamLead,hubdriacowelsnxvtfjpyzqmgk@i.ua
Kate Mahno,TechLead,ptvngslrabwoqzyeukihjdfmxc@ukr.net
Denis Kovalchuk,TechLead,xebzfoiucvprwsgyklhmjnqtda@i.ua
Olha Kovalchuk,PM,einpwmfhlvrojasyqzuxgbtdck@ukr.net
Paul Mahno,TechLead,wvqktrmpbiozgejycludnfahsx@gmail.com
Paul Shevchenko,TeamLead,nfuldobxqcrigvhktpazmyeswj@gmail.com
Kate Bondar,Developer,koirqlcuxnpzgjvsadtfybmwhe@gmail.com
Paul Shevchenko,Developer,ygeumwqfitaxzhjlrbdcskvopn@gmail.com
Paul Shevchenko,TeamLead,scrxthmwjipbvoygkadnqfeulz@gmail.com
Olha Kovalchuk,TeamLead,nrxzfmctwyuokhgdesbpiqjavl@i.ua
Olha Bondar,TeamLead,rvgyjqmflzuionxacwdktshpeb@gmail.com
Denis Bondar,TeamLead,wcazkyxpsljivbfgetqhurmond@ukr.net
Denis Bondar,TeamLead,zpibvnacrgldmuseowhxytkqfj@i.ua
Denis Shevchenko,TechLead,jfowlxqzvptsrhgmecunadybki@gmail.com
Olha Shevchenko,TeamLead,lsjhxeqfdvzgkrniuwapbomtyc@i.ua
Kate Mahno,Developer,gcsmhjaxeyvoplkqunzwfribtd@i.ua
Denis Shevchenko,TeamLead,ormajhklgntcwsivpqyuzxebfd@ukr.net
Denis Bondar,PM,tujkgrhizvobfeqxmdnylpwasc@gmail.com
Kate Bondar,TechLead,kxuhlrcsozegbyitjanqdpfwvm@gmail.com
Denis Bondar,PM,uyimnqbkdrxfaevztwcpjhosgl@ukr.net
Paul Kovalchuk,PM,basmvzetxlcgfhonpdkyjquwri@i.ua
Denis Shevchenko,TechLead,cdsnefozayrvmglqtihwxupkjb@gmail.com
Paul Shevchenko,TechLead,vbwxemsniycrpjautdzkhfqglo@gmail.com
Paul Mahno,PM,szodwcahnjeuygltipmvkqrxbf@ukr.net
Denis Bondar,PM,ktwzaygbouihsxqplremcfdjnv@gmail.com
Paul Kovalchuk,TechLead,usaxpbgzvhfqylwikmrjeontdc@gmail.com
Denis Bondar,Developer,ejctzkhsirmoywlgnqxabpuvdf@gmail.com
Denis Bondar,TechLead,iejlgcsrzdtxvaokpfnwbumhqy@gmail.com
Kate Mahno,TechLead,uqfkywlzgdinbmcopeajvrxhst@i.ua
Paul Shevchenko,TechLead,nfpiklbgzyqhdcvxausjwrmoet@gmail.com
Paul Mahno,Developer,rzylvkcehgjomsqdipwxbnuatf@i.ua
Paul Bondar,TeamLead,irzdygaevlsnuqpkxhmftwcjbo@ukr.net
Kate Bondar,Developer,tvcuhnmazwxrqyekjdpiobfgsl@ukr.net
Paul Kovalchuk,PM,dkrylonihtqvxgsbejpcwamzuf@i.ua
Kate Mahno,TechLead,npxrdhfemajovzgulcwbkiqyst@gmail.com
Paul Kovalchuk,TechLead,bcyamweliozhkjxtqpvdnrusfg@ukr.net
Denis Shevchenko,TechLead,pxbdjrctiyfgzqauklvsewnomh@gmail.com
Kate Kovalchuk,TechLead,clfodwzbvkjuyhspgqxrteaimn@ukr.net
Kate Mahno,Developer,rdgfcaljmstkeuiynwpohvxbzq@ukr.net
Olha Bondar,PM,oupaebdrwqgfcymshitlnxkzvj@i.ua
Paul Mahno,PM,pnciaolzvfeujmqdsrbgtyxwhk@i.ua
Olha Kovalchuk,PM,nptgkryliqjaovmwhxzdfucseb@ukr.net
Olha Bondar,Developer,faysqwexlcphujivnbtdkzrogm@gmail.com
Olha Shevchenko,Developer,kxudhrpmsnvojbyatzqcgweifl@gmail.com
Kate Shevchenko,TeamLead,epliomdtkgzbrqhcjxsnwavfuy@gmail.com
Paul Kovalchuk,TeamLead,pgcywtnzjxrkouvefdilmbhsaq@gmail.com
Paul Shevchenko,PM,qchfxrlyzpuvoebjiswtmgadnk@gmail.com
Kate Bondar,TechLead,cxhpiudekgzamqbrtnjwsylfvo@i.ua
